Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
0.245000486,0.184257963,0.147076926,0.096283234,0.229719281,0.09766211
0.178059351,0.212094211,0.148136819,0.16901915,0.175089177,0.117601292
0.184465519,0.215909444,0.15347404,0.161511629,0.16799741,0.116641957
0.191261843,0.236375309,0.1740672,0.153194054,0.128888002,0.116213592
0.165644212,0.263540182,0.189971134,0.176931804,0.083880159,0.120032508
0.199712195,0.197196284,0.143389029,0.139594873,0.209747982,0.110359637
0.214439472,0.203510283,0.15338604,0.12668971,0.193781306,0.108193189
0.213453107,0.211339707,0.159756459,0.129119993,0.176806649,0.109524084
0.21588712,0.212260975,0.161425275,0.126913484,0.174442587,0.10907056
0.219980729,0.223775296,0.17344918,0.123755345,0.149980871,0.10905858
0.226795352,0.231666393,0.183902887,0.116977111,0.133089593,0.107568664
0.231569228,0.230349805,0.184550204,0.112868257,0.134296274,0.106366232
0.202665267,0.20146105,0.147773968,0.137818877,0.199781378,0.110499459
0.208633029,0.198737703,0.14751051,0.131012449,0.205438541,0.108667768
0.21738839,0.207461858,0.157764065,0.124745394,0.184525626,0.108114667
0.195919023,0.193709296,0.139447428,0.142393602,0.218052803,0.110477848
0.267973516,0.131576556,0.111450294,0.05931244,0.353863962,0.075823231
0.282556349,0.131844567,0.114837043,0.053975931,0.343091948,0.073694161
0.287156037,0.138988042,0.12152898,0.055704627,0.320827277,0.075795037
0.273903208,0.182436951,0.154469233,0.077965098,0.219984348,0.091241162
0.278192476,0.133759437,0.115371788,0.05651536,0.341020266,0.075140674
0.200468202,0.196356054,0.142964652,0.13851594,0.211671819,0.110023333
0.215868858,0.186287464,0.139815925,0.119860361,0.233780163,0.104387228
0.230117342,0.176576335,0.136409914,0.104038166,0.25404505,0.098813194
0.273474495,0.136588176,0.116513581,0.05976881,0.336632971,0.077021967
0.28059953,0.145360478,0.125092231,0.061123443,0.308611439,0.079212879
0.271299416,0.185544991,0.156428121,0.080207585,0.21409494,0.092424947
0.161270811,0.27841563,0.203971011,0.173250454,0.064821871,0.118270223
0.20087089,0.199695354,0.145759512,0.139175101,0.203917877,0.110581267
0.279653117,0.160081366,0.136883678,0.06773018,0.271351736,0.084299923
0.282617419,0.16102211,0.13847076,0.066739966,0.267101369,0.084048377
0.269146962,0.191834496,0.16144079,0.082872381,0.200646069,0.094059301
0.20710922,0.196625492,0.14530728,0.131855895,0.210501759,0.108600354
0.202830887,0.204878954,0.150628701,0.138538205,0.192087219,0.111036033
0.208944786,0.215618587,0.161899905,0.134119358,0.168373561,0.111043803
0.215886617,0.212261458,0.161425521,0.126914025,0.174441647,0.109070732
0.215017316,0.222315632,0.170184479,0.128500356,0.153815898,0.110166321
0.218502859,0.230561581,0.179403002,0.124828772,0.137074362,0.109629424
0.155767405,0.27556117,0.198142489,0.183219858,0.067291035,0.120018044
0.210658098,0.203886121,0.152430474,0.130406304,0.193509861,0.109109141
0.206033776,0.211920738,0.157652598,0.136609613,0.176482711,0.111300565
0.21737288,0.23148873,0.179855785,0.125831496,0.135533945,0.109917163
0.236792344,0.225993851,0.182280644,0.10876442,0.141158116,0.105010625
0.203282953,0.189091019,0.13815392,0.132880759,0.228782072,0.107809277
0.201540612,0.195150662,0.142352251,0.13698142,0.214436781,0.109538274
0.199536204,0.20112436,0.146474259,0.141011939,0.200712961,0.111140277
0.210630009,0.196530261,0.14636276,0.128400079,0.210279038,0.107797852
0.259747448,0.143584171,0.118720589,0.069413706,0.326481583,0.082052503
0.162657069,0.258707743,0.183771151,0.183606182,0.089993498,0.121264357
0.155804903,0.269356591,0.191564236,0.187467553,0.074657638,0.121149079
0.169428588,0.267635482,0.196012749,0.16942443,0.078917643,0.118581109
0.286772032,0.165438917,0.143382041,0.066430476,0.253417271,0.084559263
0.202074227,0.194544838,0.142042882,0.136216005,0.215828705,0.109293343
0.255284603,0.1455798,0.119177699,0.072670879,0.323690031,0.083596987
0.271019628,0.12040466,0.103656267,0.051972896,0.382502931,0.070443618
0.29499383,0.13791516,0.122467632,0.052466123,0.317982937,0.074174318
0.141954493,0.242655876,0.160620292,0.221997304,0.106594326,0.126177709
0.221386389,0.187965216,0.142843451,0.115714505,0.228502362,0.103588078
0.259394827,0.144381847,0.119246575,0.070008387,0.324546115,0.082422249
0.284951083,0.124099324,0.10930761,0.049308303,0.362240795,0.070092886
0.186082795,0.240313703,0.175709117,0.158744189,0.121783985,0.117366211
0.155804903,0.269356591,0.191564236,0.187467553,0.074657638,0.121149079
0.289448743,0.149387239,0.130543304,0.059319405,0.292150321,0.079150988
0.236940663,0.098591278,0.081675317,0.04980021,0.4688943,0.064098232
0.197270038,0.213719718,0.156117039,0.146233014,0.173144189,0.113516003
0.245466429,0.195704992,0.157036732,0.099206282,0.202674421,0.099911144
0.307360516,0.095723614,0.091240673,0.029973876,0.421475042,0.054226279
0.211829148,0.167968005,0.124711255,0.114309028,0.281181502,0.100001061
0.21499684,0.216283305,0.164680343,0.128207672,0.166132374,0.109699466
0.215417815,0.221962791,0.170009506,0.128104711,0.154456273,0.110048904
0.199645508,0.185100617,0.133988578,0.134803364,0.238837921,0.107624011
0.200036697,0.196836581,0.143207607,0.139132039,0.210571227,0.110215849
0.211238252,0.206794137,0.155077817,0.130478432,0.186987715,0.109423647
0.229231711,0.232257128,0.185523806,0.114713797,0.131324684,0.106948874
0.254172893,0.147976839,0.120733881,0.074533151,0.317875502,0.084707733
0.264499654,0.131082168,0.110321596,0.060439066,0.357500889,0.076156626
0.27474961,0.08447991,0.077583943,0.030516946,0.480910275,0.051759316
0.279996682,0.111117455,0.098389981,0.044009864,0.401608075,0.064877944
0.285165548,0.150614493,0.130481555,0.061539825,0.291912083,0.080286497
0.284316588,0.158306993,0.136644923,0.064963636,0.272848574,0.082919285
0.276196406,0.153827328,0.130831763,0.066746981,0.289484535,0.082912987
0.276516043,0.159395717,0.135476346,0.068911686,0.275044902,0.084655306
0.285751553,0.161673184,0.139873336,0.065578701,0.263449142,0.083674085
0.212272173,0.19467592,0.145388073,0.126241185,0.214362854,0.107059795
0.152092546,0.25828561,0.178877635,0.199384333,0.088001393,0.123358483
0.285601932,0.121554644,0.107466568,0.04781806,0.368663794,0.068895002
0.146549412,0.254583911,0.173098412,0.209831567,0.091238599,0.124698099
0.158704682,0.261129891,0.184473606,0.188070332,0.085848457,0.121773031
0.282979128,0.140164415,0.121501627,0.057803759,0.320649606,0.076901465
0.308691421,0.120047122,0.110917733,0.040628591,0.354583066,0.065132067
0.220851507,0.151896435,0.115412744,0.097188102,0.322250114,0.092401098
0.144441597,0.248621232,0.166822622,0.215784655,0.098835599,0.125494295
0.257029931,0.141565142,0.116546993,0.069609398,0.333527931,0.081720605
0.276672998,0.106360369,0.094201719,0.042326949,0.417438626,0.062999338
0.264225879,0.045863348,0.047130881,0.012005065,0.601284526,0.029490302
0.285377791,0.059374941,0.059832455,0.01619938,0.542773046,0.036442387
0.311398514,0.100954355,0.096071916,0.031575433,0.403697445,0.056302336
0.182958428,0.220370283,0.156685416,0.163840377,0.158736198,0.117409297
0.186984169,0.234341393,0.170496603,0.158576334,0.132412703,0.117188799
0.184186998,0.251487309,0.185837603,0.158009762,0.103253729,0.117224599
0.19157839,0.253297278,0.190945772,0.148444422,0.100442873,0.115291265
0.18553813,0.259579986,0.194848896,0.153034771,0.090968096,0.116030122
0.168113812,0.217800076,0.14932738,0.183376347,0.160998184,0.1203842
0.169314369,0.222874687,0.153915942,0.182064244,0.151264661,0.120566097
0.177518031,0.236227476,0.168541942,0.170266063,0.128122673,0.119323814
0.186109851,0.252488113,0.187690374,0.155289551,0.101737202,0.11668491
0.193663852,0.249538026,0.187975583,0.147324683,0.106378751,0.115119105
0.170867534,0.22747907,0.158354295,0.17993602,0.142842516,0.120520565
0.26927163,0.105698801,0.092387835,0.04405098,0.424976405,0.06361435
0.287124298,0.113958519,0.101899199,0.043492778,0.388249214,0.06527599
0.294094717,0.11724195,0.105793431,0.043198366,0.373830241,0.065841294
0.307668077,0.123741723,0.113709101,0.042494069,0.345591284,0.066795745
0.310975665,0.125348633,0.115710967,0.042294971,0.338672577,0.066997188
0.239920372,0.092527486,0.077984573,0.044391572,0.484903225,0.060272772
0.25099286,0.097441382,0.08325473,0.044344943,0.462348193,0.061617891
0.25467132,0.09908812,0.085047768,0.044307702,0.454842588,0.062042502
0.26564243,0.104044092,0.090528704,0.044131223,0.432412638,0.063240913
0.26927163,0.105698801,0.092387835,0.04405098,0.424976405,0.06361435
0.276476901,0.109007724,0.096150976,0.043858797,0.410184873,0.064320729
0.310975665,0.125348633,0.115710967,0.042294971,0.338672577,0.066997188
0.24361544,0.09416032,0.079722646,0.044386884,0.477382,0.06073271
0.247306918,0.095798533,0.081479525,0.044371341,0.469862493,0.06118119
0.25467132,0.09908812,0.085047768,0.044307702,0.454842588,0.062042502
0.280049253,0.11066042,0.098053836,0.043747046,0.402836199,0.064653245
0.304324672,0.12212692,0.111715806,0.042684146,0.35256908,0.066579376
0.314245992,0.126946995,0.117720797,0.042087053,0.331815493,0.06718367
0.236223656,0.090900766,0.076265765,0.044385421,0.492422681,0.059801712
0.25467132,0.09908812,0.085047768,0.044307702,0.454842588,0.062042502
0.261998035,0.102390235,0.088685285,0.044200798,0.439871358,0.062854288
0.283598982,0.112310934,0.099970109,0.043624998,0.395523254,0.064971723
0.300946941,0.120504898,0.10973169,0.042865009,0.359603333,0.066348129
0.25099286,0.097441382,0.08325473,0.044344943,0.462348193,0.061617891
0.261998035,0.102390235,0.088685285,0.044200798,0.439871358,0.062854288
0.276476901,0.109007724,0.096150976,0.043858797,0.410184873,0.064320729
0.290623449,0.115602435,0.103840508,0.043350519,0.381017195,0.065565893
0.294094717,0.11724195,0.105793431,0.043198366,0.373830241,0.065841294
0.310975665,0.125348633,0.115710967,0.042294971,0.338672577,0.066997188
0.25467132,0.09908812,0.085047768,0.044307702,0.454842588,0.062042502
0.26927163,0.105698801,0.092387835,0.04405098,0.424976405,0.06361435
0.280049253,0.11066042,0.098053836,0.043747046,0.402836199,0.064653245
0.304324672,0.12212692,0.111715806,0.042684146,0.35256908,0.066579376
0.314245992,0.126946995,0.117720797,0.042087053,0.331815493,0.06718367
0.261998035,0.102390235,0.088685285,0.044200798,0.439871358,0.062854288
0.26564243,0.104044092,0.090528704,0.044131223,0.432412638,0.063240913
