Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
0.282631266,0.123811614,0.175765901,0.325378464,0.053111694,0.039301061
0.210534068,0.10435019,0.037804305,0.528343911,0.081916977,0.037050549
0.082738951,0.120018903,0.083447866,0.518778234,0.117903409,0.077112637
0.081093768,0.151806702,0.088779956,0.359333792,0.234817538,0.084168243
0.081675425,0.229291792,0.126407658,0.001157407,0.408220721,0.153246997
0.056879517,0.135487493,0.045440564,0.6195773,0.087725685,0.054889442
0.078596951,0.088618539,0.050813465,0.598356592,0.140548586,0.043065866
0.081648586,0.145172613,0.083588133,0.494771986,0.143233066,0.051585616
0.039351558,0.15393401,0.047471634,0.574069667,0.138182742,0.046990388
0.065705502,0.169975501,0.068192093,0.476334662,0.166996358,0.052795883
0.057089936,0.100760485,0.057089936,0.610040879,0.126760279,0.048258484
0.073158611,0.133938847,0.05632716,0.515451716,0.169471908,0.051651758
0.043117164,0.113553608,0.068093209,0.581105177,0.147017512,0.047113331
0.067854671,0.09842425,0.049794534,0.568551028,0.169753268,0.04562225
0.05774697,0.147194989,0.110685594,0.470303139,0.169100626,0.044968682
0.049403021,0.097648635,0.048397904,0.623324805,0.131822612,0.049403021
0.349877451,0.127280773,0.13037854,0.287922113,0.069750817,0.034790305
0.16779393,0.093780246,0.126136491,0.489437946,0.087859152,0.034992234
0.281483299,0.142403529,0.125939257,0.265885568,0.160600882,0.023687464
0.490314389,0.089865431,0.085330951,0.199540888,0.104316817,0.030631524
0.347339179,0.14045506,0.140888328,0.244654473,0.094310199,0.032352761
0.059052481,0.093891578,0.062977571,0.562939802,0.172880084,0.048258484
0.062822556,0.088052411,0.058818326,0.45884415,0.150915626,0.180546931
0.017571458,0.066129693,0.040140778,0.634126984,0.08767587,0.154355217
0.267520585,0.104173813,0.124285127,0.396679911,0.08204958,0.025290984
0.504091995,0.093598524,0.136615677,0.144395375,0.091768006,0.029530423
0.121650688,0.094874403,0.071301959,0.591111134,0.090799751,0.030262064
