"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
188.751,2021,5,21,13,53.5,23.313,33.188,61.625,9.875,7.25,0.282901579427492,0.1237117188685,0.175787111355996,0.325748421347584,0.0528469974257679,0.0390041715746613
41.501,2021,5,21,14,3.5,11.938,14.688,0,6.625,4.75,0.0847164808761116,0.28709558463711,0.353052272873984,0.000771604938271605,0.159667262963469,0.114696793711054
297.5,2021,5,21,18,48.625,26.75,32.75,122.5,18.875,48,0.163460291524017,0.0902712937026663,0.110345990247951,0.410629992737836,0.06392325448698,0.16136917730055
83.001,2021,5,22,1,17.5,8.625,3.063,44.063,6.75,3,0.210636323212527,0.10420493037344,0.0375039267710742,0.529186981013616,0.0817194248440559,0.0367484137852868
88.251,2021,5,22,4,7.25,10.563,7.313,46,10.375,6.75,0.0825433150059783,0.11991016679278,0.0832538829693253,0.519599006747169,0.1177897417593,0.0769038867254468
80.75,2021,5,22,13,6.5,12.25,7.125,29.125,19,6.75,0.0808942972900661,0.151772063601269,0.0885984023238925,0.359782899514582,0.234976397966594,0.0839759393035967
25.625,2021,5,22,14,2.125,6.875,4.875,0,8.25,3.5,0.0833145137006926,0.26782219211081,0.190134748569708,0.000771604938271605,0.321232309545318,0.1367246311352
27.75,2021,5,22,17,2.25,6.375,3.5,0,11.375,4.25,0.0814773106439773,0.229437771104438,0.126313813813814,0.000771604938271605,0.408783783783784,0.153215715715716
87.251,2021,5,23,1,4,9.875,6.063,43.688,17.375,6.25,0.0464041075053652,0.113426845650784,0.0699390707043437,0.499169797976068,0.198987787964084,0.0720723901993553
124.751,2021,5,23,3,7,16.875,5.563,77.688,10.875,6.75,0.0566236028588702,0.135414814211143,0.0451579855714559,0.620633035574766,0.0875416731363444,0.0546288886474202
136.251,2021,5,23,9,10.625,12,6.813,81.938,19.125,5.75,0.078391660462159,0.0884366088240739,0.0505434108944358,0.59936286230451,0.140487704881269,0.0427777526335519
128.001,2021,5,23,11,10.375,18.563,10.625,63.625,18.313,6.5,0.0814504089522449,0.145122509893586,0.0833944765188466,0.495536800638421,0.143178442326984,0.0513173616699175
130.001,2021,5,23,12,5,20,6.063,75,17.938,6,0.0390547862357374,0.153904330128135,0.0471937905795786,0.575019324400259,0.13811634616106,0.0467114224952306
125.001,2021,5,23,17,8.125,21.25,8.438,59.813,20.875,6.5,0.0654701614238938,0.16998321420836,0.0679625488922014,0.477056498362828,0.166997126985947,0.0525304501267694
119.5,2021,5,23,18,8.625,16.875,7.5,59.25,20.75,6.5,0.0726131902474301,0.141331228369234,0.063242548685366,0.494292060540317,0.173607882638566,0.0549130895190867
223.251,2021,5,23,20,8,19.813,8.125,77.438,20.625,89.25,0.0364398123055979,0.0891083790093761,0.0369971280457124,0.346030935202148,0.0927287020571597,0.398695043380006
126.501,2021,5,23,22,7.125,12.688,7.125,77.563,16,6,0.0568345126535378,0.100606857301962,0.0568345126535378,0.611074385446228,0.126667257351501,0.0479824745932326
132.75,2021,5,23,23,9.625,17.75,7.375,68.75,22.5,6.75,0.0729406430913022,0.133862558415289,0.0560699588477366,0.516264734602776,0.169478447373928,0.0513836576689684
132.001,2021,5,24,3,6.25,11.438,7.5,78.813,20.5,7.5,0.047900526801097,0.0870213022609911,0.0573263111736621,0.595071079942249,0.155354468648339,0.0573263111736621
124.251,2021,5,24,5,5.25,14.063,8.375,72.563,18.25,5.75,0.0428291694202029,0.113429800997205,0.067863433992781,0.582071233795868,0.146971710042128,0.0468346517518154
134.001,2021,5,24,6,9,13.125,6.563,76.563,22.75,6,0.0676243398681104,0.0982651767109532,0.0495221048654418,0.569487820986411,0.169760462677586,0.0453400948914975
136,2021,5,24,11,7.75,20,15,64.25,23,6,0.0574930782498184,0.147149600580973,0.110555101670298,0.47101091594045,0.169106299927378,0.0446850036310821
130.501,2021,5,24,22,8.125,14.563,12.375,73.438,15.5,6.5,0.0627434232328384,0.111847985224275,0.0951594512638426,0.560905314712597,0.118994765992522,0.050349059573925
123.5,2021,5,25,1,6,12,5.875,77.375,16.25,6,0.0491296796121357,0.0974877542859999,0.0481222197230969,0.624389276253311,0.13174139051332,0.0491296796121357
131.751,2021,5,25,4,10.375,13.938,8.188,62.75,30.25,6.25,0.0791540657362359,0.106072302634852,0.062631420746824,0.474843837716321,0.229308418349204,0.0479899548165633
167.001,2021,5,25,7,29,11.688,9.563,86,20.75,10,0.173619316872576,0.070435193113725,0.0577696280150906,0.513354474812415,0.124447122960231,0.0603742642259627
213.5,2021,5,25,8,63.875,11.75,11.125,103.875,10.875,12,0.29856683869662,0.0555519414809032,0.0526380937924654,0.485053090756643,0.0514725547170902,0.0567174805562784
280.5,2021,5,25,11,98.5,35.625,36.5,81,19.375,9.5,0.350304515745692,0.127188964811514,0.130293952597874,0.288204760018485,0.0695249059219648,0.0344829009044695
293.501,2021,5,25,15,49.25,27.375,36.938,144.313,25.625,10,0.167796557973323,0.0936103478689223,0.126042015399363,0.490190326711824,0.0876754510605702,0.0346853009859979
286.5,2021,5,25,17,80.875,40.75,36,76.375,46,6.5,0.281750937237412,0.142346971753604,0.125844321634025,0.266116847650443,0.160586742938401,0.023354178786116
219.001,2021,5,25,21,107.875,19.563,18.563,43.75,22.75,6.5,0.491068812273872,0.0896864069508449,0.0851413575201556,0.199617517530925,0.104171479486451,0.0303144262377515
193.751,2021,5,25,22,51.75,16.125,10.438,93.438,16.25,5.75,0.266630447817362,0.0836116791687129,0.0543954619812078,0.480797084376657,0.0842538502867783,0.0303114763692817
286.501,2021,5,26,14,99.875,40.188,40.313,70.25,26.875,9,0.347760326585808,0.140393960338233,0.140828239088731,0.24483626271789,0.0941415362952432,0.0320396749740946
326.25,2021,5,26,19,74.5,23.375,30.125,91,18,89.25,0.228066907904073,0.0720874130835817,0.0926812828153824,0.278407478359586,0.0556885908897403,0.273068326947637
217.001,2021,5,26,22,122.125,18,13.438,31.813,25.625,6,0.560951541811749,0.0833365086330318,0.0624108924855043,0.146695898340572,0.118311919225951,0.0282932395031917
126.501,2021,5,27,3,7.375,11.813,7.875,71.563,21.875,6,0.0588016322224945,0.093721938810614,0.0627358713604079,0.563863515791267,0.172894567221984,0.0479824745932326
155.001,2021,5,27,5,9.625,13.563,9,71.438,23.375,28,0.0625804952990745,0.087869161298123,0.0585669309899315,0.459525216324769,0.150878910100222,0.18057928598788
181.501,2021,5,27,7,3,11.875,7.125,115.688,15.813,28,0.0172239171079627,0.0658953406099657,0.0398458463412881,0.635216635034014,0.0874917423847136,0.154326518522056
291.25,2021,5,27,12,79.25,29.125,31.25,124.125,21.25,6.25,0.271614873099136,0.100308641975309,0.107571000900758,0.424978805701266,0.0733951941927622,0.0221314841307688
277.751,2021,5,27,13,74.5,28.813,34.438,110.625,22.625,6.75,0.267755675536011,0.104028142201797,0.124186335451626,0.397216072184914,0.081852337787585,0.0249614368380668
284.251,2021,5,27,15,49.5,24.75,32.563,143.563,25.625,8.25,0.174107260163173,0.0874394325507221,0.114798452232988,0.503490527585796,0.090503446658233,0.0296608808090884
271.25,2021,5,27,16,137.375,25.25,37,39.125,24.75,7.75,0.504878534448427,0.0934282016271264,0.136545627809069,0.144343460203675,0.0915934175342778,0.029210758377425
68.813,2021,5,27,17,63,0.438,5.375,0,0,0,0.912057747576048,0.0071072133585152,0.0785202242506216,0.000771604938271605,0.000771604938271605,0.000771604938271605
281.001,2021,5,27,18,69.125,46.5,32.375,91.563,26.938,14.5,0.245628302429924,0.165485332726508,0.115451324016641,0.325108874991482,0.0961922156728848,0.0521339501625604
213.251,2021,5,27,21,25.875,20.125,15.063,126.688,19.25,6.25,0.121545755274417,0.094707055199718,0.0710796639339569,0.592100515384091,0.0906229051883508,0.0299441050194661
12.875,2021,5,27,23,11.5,0.875,0.5,0,0,0,0.889840285269088,0.0684181349634424,0.0394267649526549,0.000771604938271605,0.000771604938271605,0.000771604938271605
123.751,2021,5,28,4,10.875,11.938,4.938,65.25,25,5.75,0.0882428397386189,0.0967929015862299,0.040489578036581,0.525599013740355,0.201854903329875,0.0470207635683403
305.5,2021,5,28,12,134.25,28.75,37.375,65.75,32.375,7,0.438180679315431,0.0944439393020953,0.122545639611242,0.214996160918147,0.106254798852317,0.0235787820007678
262.501,2021,5,28,16,85,31.063,32.5,88.188,18.25,7.5,0.323080782737524,0.118558545996838,0.124007467037986,0.335169272841336,0.069973281348111,0.0292106500382056
250.501,2021,5,28,18,84.375,25.563,31.688,73.375,29,6.5,0.336037232620397,0.102346659639761,0.126684460760389,0.292328528567023,0.116003642897165,0.0265994755152649
252,2021,5,28,19,68.75,25,27,102.375,22.875,6,0.272326021457966,0.0995186654908877,0.107418430335097,0.405140817901235,0.0911251653439153,0.0244708994708995
25.813,2021,5,28,20,21.625,1.625,2.563,0,0,0,0.834649273526164,0.0634329326356277,0.0996029790233938,0.000771604938271605,0.000771604938271605,0.000771604938271605
204.751,2021,5,28,22,69.25,14.25,8.438,68.938,38.125,5.75,0.33742147794572,0.0700461275426925,0.0417918450601034,0.335904730503434,0.186111336467643,0.0287244824804063
134.25,2021,5,29,5,7.125,13,9,79.125,19.75,6.25,0.0535985240361404,0.0971575625905235,0.0675003448513691,0.58742844334092,0.147204117525347,0.0471110076557004
121.251,2021,5,29,6,6.375,11.313,5.75,71.438,20.625,5.75,0.0531050793930069,0.0936419730177101,0.047974346603327,0.58721846738492,0.170085786997709,0.047974346603327
119.001,2021,5,29,11,8.375,12.938,5.188,60,26.5,6,0.0708233427543559,0.10899003883254,0.0441660426445218,0.502634801232607,0.22242784996827,0.0509579245677052
130,2021,5,29,12,7.875,11.25,4.375,75.25,25.25,6,0.061068079297246,0.0869094254510921,0.0342696462488129,0.576937915479582,0.194103157644824,0.0467117758784425
